Solution 1:
Total Switches: 835
Boundary Edges (580):
  connect_to_host:411 -> address_list_set_faulty:159, Weight: 0, Domains: 1 -> 0
  connect_to_host:411 -> connect_to_ip:267, Weight: 1, Domains: 1 -> 0
  connect_to_host:431 -> address_list_release:315, Weight: 0, Domains: 0 -> 1
  calc_rate:655 -> calc_rate:656, Weight: 1, Domains: 0 -> 1
  establish_connection:2054 -> ssl_check_certificate:760, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> ssl_connect_wget:542, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> resp_status:769, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> fd_errstr:997, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> request_free:391, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> request_send:325, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> request_set_header:231, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> aprintf:307, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> retryable_socket_connect_error:639, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> connect_to_host:396, Weight: 1, Domains: 1 -> 0
  establish_connection:2054 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  establish_connection:2054 -> resp_new:612, Weight: 0, Domains: 1 -> 0
  connect_to_ip:363 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  escnonprint_internal:800 -> count_nonprint:715, Weight: 1, Domains: 1 -> 0
  connect_to_ip:366 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  connect_to_ip:366 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  connect_with_timeout:244 -> connect_with_timeout:245, Weight: 1, Domains: 0 -> 1
  connect_with_timeout:249 -> run_with_timeout:2040, Weight: 1, Domains: 1 -> 0
